date,n
2020-02-21,1
2020-02-26,3
2020-02-27,2
2020-02-28,9
2020-02-29,6
2020-03-01,10
2020-03-02,12
2020-03-03,31
2020-03-04,33
2020-03-05,33
2020-03-06,24
2020-03-07,19
2020-03-08,65
2020-03-09,247
2020-03-10,241
2020-03-11,175
2020-03-12,206
2020-03-13,147
2020-03-14,100
2020-03-15,99
2020-03-16,180
2020-03-17,176
2020-03-18,213
2020-03-19,240
2020-03-20,308
2020-03-21,174
2020-03-22,148
2020-03-23,296
2020-03-24,313
2020-03-25,292
2020-03-26,298
2020-03-27,262
2020-03-28,166
2020-03-29,106
2020-03-30,264
2020-03-31,208
2020-04-01,198
2020-04-02,198
2020-04-03,164
2020-04-04,88
2020-04-05,72
2020-04-06,159
2020-04-07,140
2020-04-08,106
2020-04-09,103
2020-04-10,68
2020-04-11,110
2020-04-12,77
2020-04-13,77
2020-04-14,122
2020-04-15,103
2020-04-16,80
2020-04-17,108
2020-04-18,49
2020-04-19,36
2020-04-20,84
2020-04-21,78
2020-04-22,77
2020-04-23,69
2020-04-24,53
2020-04-25,25
2020-04-26,37
2020-04-27,71
2020-04-28,50
2020-04-29,39
2020-04-30,39
2020-05-01,43
2020-05-02,23
2020-05-03,44
2020-05-04,45
2020-05-05,44
2020-05-06,39
2020-05-07,29
2020-05-08,42
2020-05-09,11
2020-05-10,12
2020-05-11,25
2020-05-12,19
2020-05-13,19
2020-05-14,24
2020-05-15,23
2020-05-16,13
2020-05-17,4
2020-05-18,17
2020-05-19,20
2020-05-20,19
2020-05-21,14
2020-05-22,26
2020-05-23,6
2020-05-24,6
2020-05-25,18
2020-05-26,12
2020-05-27,18
2020-05-28,16
2020-05-29,16
2020-05-31,6
2020-06-01,7
2020-06-02,31
2020-06-03,12
2020-06-04,17
2020-06-05,30
2020-06-06,8
2020-06-07,9
2020-06-08,19
2020-06-09,13
2020-06-10,14
2020-06-11,11
2020-06-12,13
2020-06-13,7
2020-06-14,6
2020-06-15,18
2020-06-16,36
2020-06-17,15
2020-06-18,13
2020-06-19,18
2020-06-20,6
2020-06-21,4
2020-06-22,28
2020-06-23,13
2020-06-24,21
2020-06-25,17
2020-06-26,22
2020-06-27,10
2020-06-28,1
2020-06-29,26
2020-06-30,11
2020-07-01,8
2020-07-02,9
2020-07-03,10
2020-07-04,2
2020-07-05,1
2020-07-06,14
2020-07-07,10
2020-07-08,11
2020-07-09,8
2020-07-10,13
2020-07-11,4
2020-07-12,5
2020-07-13,19
2020-07-14,8
2020-07-15,6
2020-07-16,4
2020-07-17,12
2020-07-18,1
2020-07-19,3
2020-07-20,21
2020-07-21,6
2020-07-22,22
2020-07-23,6
2020-07-24,24
2020-07-25,6
2020-07-26,9
2020-07-27,24
2020-07-28,16
2020-07-29,37
2020-07-30,23
2020-07-31,72
2020-08-01,14
2020-08-02,13
2020-08-03,38
2020-08-04,40
2020-08-05,66
2020-08-06,79
2020-08-07,80
2020-08-08,35
2020-08-09,34
2020-08-10,63
2020-08-11,43
2020-08-12,63
2020-08-13,54
2020-08-14,76
2020-08-15,44
2020-08-16,27
2020-08-17,74
2020-08-18,58
2020-08-19,60
2020-08-20,51
2020-08-21,53
2020-08-22,45
2020-08-23,19
2020-08-24,67
2020-08-25,42
2020-08-26,40
2020-08-27,52
2020-08-28,84
2020-08-29,42
2020-08-30,50
2020-08-31,148
2020-09-01,115
2020-09-02,101
2020-09-03,125
2020-09-04,119
2020-09-05,73
2020-09-06,60
2020-09-07,132
2020-09-08,113
2020-09-09,124
2020-09-10,132
2020-09-11,119
2020-09-12,67
2020-09-13,78
2020-09-14,104
2020-09-15,133
2020-09-16,137
2020-09-17,117
2020-09-18,94
2020-09-19,58
2020-09-20,77
2020-09-21,163
2020-09-22,101
2020-09-23,143
2020-09-24,133
2020-09-25,130
2020-09-26,63
2020-09-27,54
2020-09-28,124
2020-09-29,110
2020-09-30,120
2020-10-01,131
2020-10-02,134
2020-10-03,110
2020-10-04,89
2020-10-05,209
2020-10-06,198
2020-10-07,199
2020-10-08,168
2020-10-09,141
2020-10-10,65
2020-10-11,78
2020-10-12,167
2020-10-13,155
2020-10-14,162
2020-10-15,142
2020-10-16,137
2020-10-17,88
2020-10-18,93
2020-10-19,219
2020-10-20,183
2020-10-21,221
2020-10-22,285
2020-10-23,368
2020-10-24,231
2020-10-25,202
2020-10-26,487
2020-10-27,391
2020-10-28,515
2020-10-29,431
2020-10-30,617
2020-10-31,385
2020-11-01,323
2020-11-02,647
2020-11-03,683
2020-11-04,690
2020-11-05,602
2020-11-06,650
2020-11-07,388
2020-11-08,385
2020-11-09,707
2020-11-10,603
2020-11-11,662
2020-11-12,637
2020-11-13,697
2020-11-14,379
2020-11-15,405
2020-11-16,722
2020-11-17,635
2020-11-18,652
2020-11-19,564
2020-11-20,519
2020-11-21,288
2020-11-22,279
2020-11-23,610
2020-11-24,415
2020-11-25,513
2020-11-26,477
