time_var,R991 covid-19 (mistenkt/sannsynlig),R992 covid-19 (bekreftet),R33 mikrobiologisk/immunologisk prøve,"Legekonsultasjoner (R991, R992, R33)",Andel legekonsultasjoner
2020-02-21,0,0,0,0,"0,0 %"
2020-02-22,0,0,0,0,"0,0 %"
2020-02-23,0,0,0,0,"0,0 %"
2020-02-24,0,0,0,0,"0,0 %"
2020-02-25,5,0,0,5,"0,0 %"
2020-02-26,0,0,0,0,"0,0 %"
2020-02-27,5,0,0,5,"0,0 %"
2020-02-28,22,0,0,22,"0,0 %"
2020-02-29,9,0,0,9,"0,1 %"
2020-03-01,7,0,0,7,"0,1 %"
2020-03-02,43,0,0,43,"0,0 %"
2020-03-03,58,0,0,58,"0,1 %"
2020-03-04,66,0,0,66,"0,1 %"
2020-03-05,51,0,0,51,"0,1 %"
2020-03-06,50,0,0,50,"0,1 %"
2020-03-07,26,0,0,26,"0,2 %"
2020-03-08,36,0,0,36,"0,2 %"
2020-03-09,400,0,0,400,"0,3 %"
2020-03-10,1 056,0,0,1 056,"0,9 %"
2020-03-11,1 761,0,0,1 761,"1,5 %"
2020-03-12,3 725,0,0,3 725,"2,8 %"
2020-03-13,7 084,0,0,7 084,"5,8 %"
2020-03-14,1 543,0,0,1 543,"7,9 %"
2020-03-15,2 494,0,0,2 494,"8,5 %"
2020-03-16,12 170,0,0,12 170,"8,0 %"
2020-03-17,10 631,0,0,10 631,"9,0 %"
2020-03-18,9 741,0,0,9 741,"9,3 %"
2020-03-19,9 141,0,0,9 141,"9,2 %"
2020-03-20,8 185,0,0,8 185,"8,9 %"
2020-03-21,2 465,0,0,2 465,"15,9 %"
2020-03-22,2 503,0,0,2 503,"14,7 %"
2020-03-23,9 593,0,0,9 593,"8,2 %"
2020-03-24,7 204,0,0,7 204,"7,5 %"
2020-03-25,6 742,0,0,6 742,"7,5 %"
2020-03-26,6 691,0,0,6 691,"7,4 %"
2020-03-27,6 040,0,0,6 040,"6,8 %"
2020-03-28,1 544,0,0,1 544,"12,3 %"
2020-03-29,1 598,0,0,1 598,"11,8 %"
2020-03-30,7 305,0,0,7 305,"6,4 %"
2020-03-31,5 413,0,0,5 413,"5,7 %"
2020-04-01,5 065,0,0,5 065,"5,6 %"
2020-04-02,4 863,0,0,4 863,"5,3 %"
2020-04-03,4 711,0,0,4 711,"5,3 %"
2020-04-04,1 165,0,0,1 165,"10,9 %"
2020-04-05,1 029,0,0,1 029,"8,9 %"
2020-04-06,4 339,0,0,4 339,"5,2 %"
2020-04-07,3 065,0,0,3 065,"4,4 %"
2020-04-08,2 650,0,0,2 650,"5,5 %"
2020-04-09,1 144,0,0,1 144,"10,3 %"
2020-04-10,901,0,0,901,"8,2 %"
2020-04-11,768,0,0,768,"7,2 %"
2020-04-12,666,0,0,666,"6,5 %"
2020-04-13,859,0,0,859,"7,1 %"
2020-04-14,5 201,0,0,5 201,"4,4 %"
2020-04-15,3 630,0,0,3 630,"3,5 %"
2020-04-16,3 474,0,0,3 474,"3,4 %"
2020-04-17,3 187,0,0,3 187,"3,4 %"
2020-04-18,826,0,0,826,"8,1 %"
2020-04-19,635,0,0,635,"5,9 %"
2020-04-20,3 977,0,0,3 977,"3,6 %"
2020-04-21,3 026,0,0,3 026,"3,2 %"
2020-04-22,3 011,0,0,3 011,"3,4 %"
2020-04-23,2 836,0,0,2 836,"3,1 %"
2020-04-24,2 866,0,0,2 866,"3,3 %"
2020-04-25,708,0,0,708,"7,3 %"
2020-04-26,712,0,0,712,"6,1 %"
2020-04-27,3 984,0,0,3 984,"3,6 %"
2020-04-28,3 366,0,0,3 366,"3,3 %"
2020-04-29,3 352,0,0,3 352,"3,4 %"
2020-04-30,3 987,0,0,3 987,"3,9 %"
2020-05-01,1 089,0,0,1 089,"9,1 %"
2020-05-02,1 259,0,0,1 259,"11,7 %"
2020-05-03,767,0,0,767,"6,4 %"
2020-05-04,4 485,47,0,4 532,"3,8 %"
2020-05-05,3 813,80,0,3 893,"3,7 %"
2020-05-06,3 800,70,0,3 870,"4,0 %"
2020-05-07,3 497,88,0,3 589,"3,7 %"
2020-05-08,3 325,100,0,3 425,"3,8 %"
2020-05-09,1 052,15,0,1 067,"10,2 %"
2020-05-10,804,22,0,826,"6,5 %"
2020-05-11,4 337,122,0,4 459,"3,9 %"
2020-05-12,3 485,75,0,3 560,"3,5 %"
2020-05-13,3 735,87,0,3 822,"4,0 %"
