date,I
2022-01-01,255
2022-01-02,524
2022-01-03,657
2022-01-04,481
2022-01-05,457
2022-01-06,448
2022-01-07,482
2022-01-08,534
2022-01-09,807
2022-01-10,1053
2022-01-11,1060
2022-01-12,1152
2022-01-13,1293
2022-01-14,1380
2022-01-15,1407
2022-01-16,2087
2022-01-17,2907
2022-01-18,2713
2022-01-19,2685
2022-01-20,3052
2022-01-21,3470
2022-01-22,4182
2022-01-23,5339
2022-01-24,10412
2022-01-25,12076
2022-01-26,13355
2022-01-27,13327
2022-01-28,12849
2022-01-29,12741
2022-01-30,17186
2022-01-31,20618
2022-02-01,20367
2022-02-02,15026
2022-02-03,15806
2022-02-04,16198
2022-02-05,16190
2022-02-06,21378
2022-02-07,26365
2022-02-08,25903
2022-02-09,24317
2022-02-10,22684
2022-02-11,21130
2022-02-12,15373
2022-02-13,17679
2022-02-14,21724
2022-02-15,22258
2022-02-16,23054
2022-02-17,19617
2022-02-18,19898
2022-02-19,17926
2022-02-20,21506
2022-02-21,26321
2022-02-22,25995
2022-02-23,23188
2022-02-24,18392
2022-02-25,18056
2022-02-26,15072
2022-02-27,17422
2022-02-28,19322
2022-03-01,17118
2022-03-02,14485
2022-03-03,12924
2022-03-04,11764
2022-03-05,9879
2022-03-06,11432
2022-03-07,12786
2022-03-08,10876
2022-03-09,10891
2022-03-10,8404
2022-03-11,7988
2022-03-12,6808
2022-03-13,7819
2022-03-14,8991
2022-03-15,7558
2022-03-16,7140
2022-03-17,5617
2022-03-18,5140
2022-03-19,4034
2022-03-20,4581
2022-03-21,5478
2022-03-22,4748
2022-03-23,4370
2022-03-24,3245
2022-03-25,3085
2022-03-26,2529
2022-03-27,2786
2022-03-28,3221
2022-03-29,2875
2022-03-30,2517
2022-03-31,2975
