,UKE,antallBesvarelser,antallForkj,antallMedForkjTestet,antallMedForkjTestetPos,antallMedForkjTestetNeg,antallMedForkjTestetVenterSvar
202044,202044,3122,148,65,5,39,21
202045,202045,19585,916,430,14,250,166
202046,202046,19544,774,358,12,225,121
202047,202047,18069,678,296,10,179,107
202048,202048,17725,610,264,7,172,85
202049,202049,16839,515,232,9,111,112
202050,202050,16101,572,288,6,176,106
202051,202051,15197,463,251,10,161,80
202052,202052,15493,511,204,10,122,72
202053,202053,16632,608,285,8,139,138
202101,202101,16181,538,291,15,203,73
202102,202102,15750,468,230,10,144,76
202103,202103,15519,385,194,7,122,65
202104,202104,15136,370,190,6,116,68
202105,202105,14746,360,167,3,109,55
202106,202106,14198,366,178,3,125,50
202107,202107,14224,301,148,4,96,48
202108,202108,13943,326,185,5,101,79
202109,202109,13597,355,192,7,101,84
202110,202110,13440,400,241,10,156,75
202111,202111,13746,372,219,9,138,72
202112,202112,12746,274,156,17,104,35
202113,202113,13552,267,143,9,83,51
202114,202114,12831,249,126,5,86,35
202115,202115,12947,194,98,3,62,33
202116,202116,12846,228,113,3,60,50
202117,202117,12982,215,118,2,79,37
202118,202118,12202,204,100,3,63,34
202119,202119,12077,216,102,5,60,37
202120,202120,11811,230,127,2,90,35
202121,202121,11825,197,83,6,55,22
202122,202122,12420,158,78,0,52,26
202123,202123,11983,178,86,0,57,29
202124,202124,11510,179,98,2,62,34
202125,202125,11077,198,91,0,58,33
202130,202130,10970,173,71,3,43,25
202131,202131,10609,180,94,3,67,24
202132,202132,10360,192,91,1,55,35
202133,202133,10314,297,176,1,117,58
202134,202134,10165,393,216,7,140,69
202135,202135,13378,619,380,10,296,74
202136,202136,10338,404,234,14,180,40
202137,202137,10224,433,225,4,170,51
202138,202138,9646,421,207,5,166,36
202139,202139,9725,455,218,9,177,32
202140,202140,9273,503,221,8,184,29
202141,202141,9360,545,227,6,200,21
202142,202142,9332,596,290,6,253,31
202143,202143,9144,618,329,11,301,17
202144,202144,9495,753,410,19,345,46
202145,202145,9398,712,442,20,381,41
202146,202146,9024,699,453,32,390,31
202147,202147,9021,646,408,28,335,45
202148,202148,9212,696,490,50,395,45
202149,202149,9783,668,492,53,382,57
202150,202150,9951,509,372,34,300,38
202151,202151,9769,468,314,47,239,28
202152,202152,10430,522,355,54,264,37
202201,202201,10222,441,296,62,197,37
202202,202202,10030,476,371,103,212,56
202203,202203,9663,585,467,172,240,55
202204,202204,9952,792,663,309,312,42
202205,202205,9698,867,726,386,302,38
202206,202206,9576,1040,881,574,268,39
202207,202207,9214,1276,1050,726,295,29
202208,202208,9194,1435,1190,888,272,30
202209,202209,8965,1283,960,715,224,21
202210,202210,8772,1129,792,569,205,18
202211,202211,8607,941,626,413,198,15
202212,202212,8295,809,508,274,227,7
202213,202213,8531,762,488,225,258,5
202214,202214,7849,633,350,142,204,4
202215,202215,8299,590,285,109,174,2
202216,202216,8083,475,224,91,131,2
202217,202217,7624,384,163,59,102,2
202218,202218,7279,346,141,62,77,2
202219,202219,6818,322,152,56,93,3
202220,202220,7046,379,176,70,106,0
202221,202221,6903,410,181,76,104,1
202222,202222,6645,387,208,95,111,2
202223,202223,6903,440,254,146,105,3
202224,202224,6826,586,367,200,166,1
202225,202225,7415,688,476,305,168,3
202226,202226,7046,618,383,240,142,1
202227,202227,6819,534,309,194,114,1
202228,202228,6669,473,253,169,84,0
202231,202231,6945,413,253,163,90,0
202232,202232,6852,298,155,90,65,0
202233,202233,6826,325,173,68,104,1
202234,202234,6862,369,192,72,120,0
202235,202235,6625,315,151,56,95,0
202236,202236,6724,386,179,55,124,0
202237,202237,6378,352,149,49,100,0
202238,202238,6463,375,175,60,115,0
202239,202239,6397,369,163,68,94,1
202240,202240,6453,334,135,50,84,1
202241,202241,6376,387,148,45,103,0
202242,202242,6399,429,179,77,102,0
202243,202243,6294,422,190,78,112,0
202244,202244,6412,441,195,85,109,1
202245,202245,6166,446,206,90,116,0
202246,202246,6170,493,227,90,137,0
202247,202247,6108,537,239,116,122,1
202248,202248,6125,553,260,126,134,0
202249,202249,5999,602,289,151,137,1
202250,202250,5853,688,303,144,158,1
202252,202252,6187,906,376,122,254,0
202301,202301,6114,593,206,51,153,2
202302,202302,5828,398,115,32,83,0
202303,202303,5890,329,83,17,66,0
202304,202304,5746,310,76,13,63,0
202305,202305,5660,300,68,9,59,0
202306,202306,5560,304,83,14,69,0
202307,202307,5511,291,88,11,76,1
202308,202308,5374,295,77,17,58,2
202309,202309,5382,293,74,13,60,1
202310,202310,5450,279,81,22,59,0
202311,202311,5301,255,86,25,61,0
202312,202312,5132,298,106,44,61,1
202313,202313,4629,267,96,37,58,1
202314,202314,4623,261,73,33,40,0
202315,202315,4959,217,62,24,38,0
202316,202316,5058,200,56,18,38,0
202317,202317,4769,211,67,16,50,1
202318,202318,4800,221,71,24,47,0
202319,202319,4507,185,63,24,39,0
202320,202320,4647,170,44,14,30,0
202321,202321,4400,151,33,8,25,0
202322,202322,4468,154,33,11,22,0
202323,202323,4357,140,31,8,23,0
202324,202324,4333,126,26,2,24,0
202325,202325,4748,113,18,4,14,0
202326,202326,4606,117,27,4,23,0
202327,202327,4463,114,20,4,16,0
202330,202330,4502,144,35,10,25,0
202331,202331,4454,129,31,12,19,0
202332,202332,4475,134,39,13,25,1
202333,202333,4358,183,49,24,25,0
202334,202334,4494,195,70,34,36,0
202335,202335,4492,295,104,47,57,0
202336,202336,4429,298,116,48,67,1
202337,202337,4432,309,89,30,59,0
202338,202338,4445,275,83,35,47,1
202339,202339,4333,239,74,29,45,0
202340,202340,4412,258,78,26,52,0
202341,202341,4314,253,59,26,33,0
202342,202342,4440,300,79,39,39,1
202343,202343,4438,336,121,67,53,1
202344,202344,4439,365,132,66,66,0
202345,202345,4429,399,163,90,71,2
202346,202346,4353,424,197,118,77,2
202347,202347,4322,423,171,120,50,1
202348,202348,4361,423,179,117,61,1
202349,202349,4256,437,180,118,62,0
202350,202350,4107,383,158,108,50,0
202352,202352,4160,432,136,60,76,0
202401,202401,3972,265,59,16,43,0
202402,202402,4044,189,37,13,24,0
202403,202403,4037,193,21,4,16,1
202404,202404,4066,188,32,9,22,1
202405,202405,3451,146,15,1,14,0
