date,main,not_main,N,COVID.19
2020-01-01,,,1834,0
2020-01-02,,,2321,0
2020-01-03,,,2104,0
2020-01-04,,,1457,0
2020-01-05,,,1430,0
2020-01-06,,,2149,0
2020-01-07,,,1919,0
2020-01-08,,,1906,0
2020-01-09,,,1911,0
2020-01-10,,,1838,0
2020-01-11,,,1308,0
2020-01-12,,,1377,0
2020-01-13,,,2045,0
2020-01-14,,,1883,0
2020-01-15,,,1838,0
2020-01-16,,,1834,0
2020-01-17,,,1754,0
2020-01-18,,,1342,0
2020-01-19,,,1329,0
2020-01-20,,,2033,0
2020-01-21,,,1808,0
2020-01-22,,,1736,0
2020-01-23,,,1805,0
2020-01-24,,,1691,0
2020-01-25,,,1398,0
2020-01-26,,,1342,0
2020-01-27,,,2035,0
2020-01-28,,,1803,0
2020-01-29,,,1810,0
2020-01-30,,,1866,0
2020-01-31,,,1836,0
2020-02-01,,,1392,0
2020-02-02,,,1424,0
2020-02-03,,,1907,0
2020-02-04,,,1783,0
2020-02-05,,,1705,0
2020-02-06,,,1724,0
2020-02-07,,,1751,0
2020-02-08,,,1284,0
2020-02-09,,,1433,0
2020-02-10,,,2117,0
2020-02-11,,,1815,0
2020-02-12,,,1886,0
2020-02-13,,,1781,0
2020-02-14,,,1671,0
2020-02-15,,,1313,0
2020-02-16,,,1393,0
2020-02-17,,,1972,0
2020-02-18,,,1759,0
2020-02-19,,,1826,0
2020-02-20,,,1701,0
2020-02-21,,,1744,0
2020-02-22,,,1366,0
2020-02-23,,,1406,0
2020-02-24,,,2037,0
2020-02-25,,,1780,0
2020-02-26,,,1797,0
2020-02-27,,,1769,0
2020-02-28,,,1753,0
2020-02-29,,,1290,0
2020-03-01,1,,1377,0
2020-03-02,,,1951,0
2020-03-03,1,,1737,1
2020-03-04,,,1749,0
2020-03-05,,,1756,0
2020-03-06,,1,1653,2
2020-03-07,,,1318,0
2020-03-08,2,1,1346,3
2020-03-09,4,3,1922,6
2020-03-10,3,7,1748,11
2020-03-11,4,8,1627,11
2020-03-12,2,4,1419,7
2020-03-13,2,9,1326,16
2020-03-14,4,11,1002,15
2020-03-15,7,8,1022,16
2020-03-16,4,19,1273,26
2020-03-17,3,19,1200,24
2020-03-18,3,24,1198,33
2020-03-19,5,38,1217,46
2020-03-20,9,32,1201,49
2020-03-21,5,28,1063,37
2020-03-22,3,28,1001,30
2020-03-23,6,43,1285,49
2020-03-24,3,46,1252,52
2020-03-25,3,60,1302,68
2020-03-26,9,45,1320,55
2020-03-27,4,36,1408,49
2020-03-28,3,34,1041,44
2020-03-29,4,24,965,32
2020-03-30,6,33,1440,42
2020-03-31,4,38,1388,44
2020-04-01,5,27,1477,41
2020-04-02,4,37,1435,48
2020-04-03,3,21,1472,32
2020-04-04,5,27,1085,33
2020-04-05,1,14,1076,18
2020-04-06,6,19,1553,29
2020-04-07,4,14,1463,26
2020-04-08,6,22,1458,35
2020-04-09,3,10,1199,19
2020-04-10,2,6,1222,18
2020-04-11,2,11,1153,15
2020-04-12,2,9,1258,15
2020-04-13,2,10,1203,19
2020-04-14,4,11,1569,22
2020-04-15,7,12,1585,26
2020-04-16,1,4,1521,14
2020-04-17,3,15,1554,23
2020-04-18,1,9,1170,19
2020-04-19,4,5,1130,18
2020-04-20,1,5,1620,13
2020-04-21,3,4,1528,12
2020-04-22,2,8,1451,18
2020-04-23,1,5,1535,9
2020-04-24,2,8,1515,15
2020-04-25,,4,1235,10
2020-04-26,1,6,1251,9
2020-04-27,1,2,1627,9
2020-04-28,,7,1513,12
2020-04-29,2,,1584,4
2020-04-30,,2,1557,4
2020-05-01,,2,1149,5
2020-05-02,,2,1252,7
2020-05-03,1,1,1221,5
2020-05-04,1,2,1696,2
2020-05-05,,3,1573,3
2020-05-06,,4,1508,7
2020-05-07,,2,1561,4
2020-05-08,2,4,1596,6
2020-05-09,1,1,1229,3
2020-05-10,3,1,1128,5
2020-05-11,,2,1667,5
2020-05-12,,3,1560,5
2020-05-13,1,3,1561,5
2020-05-14,,2,1547,5
2020-05-15,1,1,1604,5
2020-05-16,,,1202,0
2020-05-17,1,,1212,2
2020-05-18,1,5,1830,8
2020-05-19,,1,1739,5
2020-05-20,1,1,1690,6
2020-05-21,1,2,1222,6
2020-05-22,,1,1633,1
2020-05-23,1,,1228,4
2020-05-24,1,,1270,0
2020-05-25,,,1880,3
2020-05-26,1,1,1636,3
2020-05-27,1,4,1655,6
2020-05-28,,2,1558,3
2020-05-29,2,1,1667,4
2020-05-30,,,1233,1
2020-05-31,1,2,1440,4
2020-06-01,,1,1305,2
2020-06-02,1,,1856,3
2020-06-03,,,1720,0
2020-06-04,1,,1780,3
2020-06-05,,1,1742,7
2020-06-06,,,1250,0
2020-06-07,,,1307,3
2020-06-08,1,1,1822,3
2020-06-09,,2,1615,6
2020-06-10,,1,1674,5
2020-06-11,,2,1624,3
2020-06-12,1,1,1690,5
2020-06-13,,,1365,1
2020-06-14,,1,1319,4
2020-06-15,,1,1835,3
